/home/lcpu/00737767/wmhpc-training-camp-x-lcpu-ai-infra-seminars/assignment02/.venv/lib/python3.12/site-packages/triton/language/core.py:2625: UserWarning: tl.make_block_ptr is deprecated. Use TensorDescriptor or tl.make_tensor_descriptor instead.
  warn("tl.make_block_ptr is deprecated. Use TensorDescriptor or tl.make_tensor_descriptor instead.")
# NVIDIA B300 SXM6 AC SMs=148 cc=10.3

 batch  chunks   e2e_us  decode_us  merge_us     d+m  graph_gap
     1      16    10.26       8.20      4.10   12.30      -2.04
     2      16    10.78       8.20      4.10   12.30      -1.52
     4      16    14.34      10.24      4.16   14.40      -0.06
     8       8    18.43      14.34      6.15   20.48      -2.05
    16       4    24.60      20.50      6.14   26.64      -2.05
    24       2    40.97      36.86      6.15   43.01      -2.04
    32       2    45.60      41.17      6.15   47.32      -1.72
    48       1    73.53      69.36      6.15   75.51      -1.98
    64       1    78.00      72.55      6.15   78.70      -0.70
