Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
29029205,21440,262,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29052629,21473,268,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29076182,21472,274,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29098710,21472,280,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29121238,21505,286,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29144087,21312,292,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29168535,21217,298,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29191128,21248,304,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29213720,21473,310,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29237977,21376,316,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29260505,21504,322,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29283033,21473,328,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29305594,21472,334,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29328410,21249,340,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29351003,21280,346,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29375355,21473,352,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29399964,21536,358,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29424348,21505,364,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29446877,21472,370,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
29469405,21472,376,16,1,1,128,1,1,167,0.000,0.135,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)4, (int)2>(CUtensorMap_st, msa::Params)"
