Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
28045843,40545,262,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28088020,40704,268,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28131029,41024,274,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28174037,40577,280,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28217046,41025,286,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28260215,40673,292,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28303224,40737,298,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28346233,40672,304,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28389241,40609,310,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28432090,40961,316,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28475099,40801,322,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28518108,40737,328,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28561117,41120,334,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28604285,40641,340,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28647294,40609,346,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28690303,40449,352,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28733312,40609,358,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28776161,40864,364,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28819169,40865,370,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
28862178,40801,376,64,1,1,128,1,1,128,0.000,0.070,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_cluster<(int)16, (int)1>(CUtensorMap_st, msa::Params)"
