Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
27847353,28449,262,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
27878458,28192,268,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
27909178,28161,274,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
27939931,28256,280,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
27970652,28128,286,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28001532,28097,292,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28032253,28288,298,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28062973,28257,304,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28093694,28224,310,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28124222,28129,316,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28154943,28192,322,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28185695,28129,328,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28216416,28096,334,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28247297,28192,340,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28278017,28161,346,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28308738,28000,352,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28339458,27937,358,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28369987,28128,364,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28400707,28129,370,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28431428,28288,376,64,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
